values
(265,58),
(350,88),
(303,50),
(289,20),
(366,52),
(368,101),
(396,27),
(288,59),
(296,34),
(385,33),
(268,29),
(244,92),
(334,23),
(300,100),
(304,48),
(297,78),
(221,77),
(306,65),
(324,89),
(316,77),
(362,22),
(213,13),
(235,68),
(358,20),
(400,94),
(217,62),
(336,47),
(312,95),
(288,87),
(238,44),
(261,22),
(385,77),
(268,27),
(232,100),
(271,17),
(337,100),
(275,74),
(311,12),
(400,33),
(394,80),
(216,58),
(343,100),
(260,27),
(266,48),
(259,37),
(273,12),
(317,59),
(363,101),
(335,59),
(376,8),
(223,95),
(331,17),
(386,41),
(333,10),
(380,73),
(260,41),
(264,31),
(220,43),
(369,9),
(284,51),
(368,6),
(364,79),
(231,8),
(374,73),
(366,59),
(395,4),
(291,6),
(399,72),
(287,90),
(264,51),
(271,69),
(378,54),
(280,52),
(311,23),
(295,88),
(365,57),
(287,66),
(384,25),
(364,45),
(258,37),
(392,23),
(328,38),
(260,27),
(311,21),
(298,66),
(294,12),
(400,89),
(270,19),
(224,38),
(392,5),
(405,84),
(341,64),
(208,64),
(380,21),
(316,30),
(247,17),
(399,56),
(255,85),
(282,21),
(394,41),
(219,53),
(265,67),
(369,56),
(351,52),
(207,48),
(383,83),
(373,11),
(405,53),
(211,89),
(216,13),
(287,53),
(238,21),
(393,102),
(305,61),
(381,81),
(304,86),
(305,42),
(361,57),
(312,23),
(294,17),
(326,11),
(285,19),
(269,66),
(276,24),
(327,36),
(397,40),
(349,25),
(254,69),
(263,44),
(380,74),
(349,51),
(226,29),
(334,34),
(308,23),
(270,61),
(337,94),
(301,67),
(273,71),
(342,80),
(371,22),
(309,74),
(305,6),
(309,16),
(312,101),
(321,43),
(299,68),
(281,70),
(271,59),
(232,32),
(380,35),
(387,71),
(314,80),
(236,59),
(371,69),
(304,31),
(296,77),
(229,47),
(207,83),
(345,51),
(290,70),
(399,94),
(219,51),
(379,99),
(247,10),
(216,16),
(297,31),
(271,4),
(249,85),
(355,7),
(212,67),
(339,27),
(325,67),
(279,70),
(372,43),
(335,81),
(230,78),
(344,74),
(350,31),
(241,57),
(291,4),
(285,44),
(385,82),
(241,9),
(333,102),
(233,72),
(339,59),
(366,101),
(225,83),
(235,35),
(322,87),
(232,78),
(236,10),
(366,95),
(275,16),
(308,53),
(330,8),
(329,42),
(222,55),
(347,54),
(246,44),
(335,22),
(344,32),
(242,5),
(221,36),
(328,7),
(352,17),
(355,12),
(371,35),
(215,44),
(354,10),
(387,54),
(324,69),
(354,10),
(392,52),
(379,66),
(300,65),
(213,65),
(259,41),
(263,86),
(304,52),
(312,26),
(270,34),
(394,101),
(291,67),
(340,17),
(228,18),
(392,85),
(394,57),
(289,25),
(325,8),
(226,61),
(336,75),
(235,79),
(333,8),
(357,13),
(290,102),
(321,71),
(397,38),
(307,25),
(252,4),
(301,16),
(384,10),
(401,26),
(219,19),
(214,39),
(263,87),
(384,84),
(353,96),
(257,59),
(222,20),
(356,45),
(324,10),
(348,95),
(396,26),
(328,89),
(334,29),
(313,50),
(383,56),
(367,48),
(375,51),
(297,75),
(293,53),
(316,31),
(279,66),
(390,63),
(260,93),
(364,67),
(381,80),
(400,26),
(243,64),
(351,52),
(314,69),
(250,38),
(399,22),
(378,48),
(366,101),
(290,61),
(248,38),
(392,25),
(306,8),
(396,31),
(361,47),
(284,87),
(261,100),
(311,99),
(259,14),
(280,99),
(296,38),
(398,33),
(386,10),
(290,13),
(393,61),
(232,7),
(302,38),
(346,79),
(387,21),
(257,9),
(252,30),
(229,36),
(260,74);
